riik;kog_rahulolu;kog_tervis;kog_majandus;kog_turvalisus;kog_sotstoetus;afek_onnelikkus;afek_masendus;afek_room;euda_vaartus;euda_auto;euda_huvi;euda_usaldus;kog_kesk;afek_kesk;euda_kesk;total_heaoluskoor
Austria;7,54;7,64;7,98;6,91;4,74;7,24;8,3518;7,0922;7,8495;8,0874;6,7127;4,78;6,96;7,49;6,86;21,31
Belgia;7,58;7,1656;7,3042;7,1366;5,3287;7,66;8,1811;7,1188;7,0928;7,1726;6,873;5,4;6,90;7,58;6,63;21,11
Bulgaaria;6,12;7,1504;4,7337;6,0423;3,2117;6,37;7,4143;6,8619;7,3152;6,8091;6,1496;3,54;5,45;6,81;5,95;18,22
Tðehhi;7,15;7,2328;6,0943;6,5699;3,8117;6,96;8,2402;6,7037;6,9855;7,0784;6,3675;5,21;6,17;7,23;6,41;19,81
Küpros;7,05;8,0471;5,7261;6,7544;3,752;7,49;8,084;6,2015;6,9675;6,8882;6,1083;3,76;6,27;7,19;5,93;19,38
Saksamaa;7,01;6,43;7,48;5,86;5,26;6,93;8,4407;6,9356;7,1181;7,2669;6,6056;4,63;6,41;7,36;6,41;20,17
Taani;8,43;7,4899;8,758;8,2177;5,4562;8,33;9,0597;7,6879;8,1219;7,8514;7,34;6,96;7,67;8,28;7,57;23,51
Eesti;7,46;6,4981;6,9539;7,2922;4,1146;7,54;8,5271;6,4716;7,5081;7,4806;5,7865;5,76;6,46;7,44;6,63;20,54
Hispaania;6,63;6,52;6,45;6,14;4,78;7,06;7,9963;6,9562;7,3044;7,2209;6,9147;4,39;6,10;7,26;6,46;19,83
Soome;8,09;7,0158;7,3701;7,8971;5,0091;8,13;8,8168;7,1291;7,9617;7,7407;6,8499;6,9;7,08;7,95;7,36;22,38
Prantsusmaa;6,96;6,8707;7,384;6,8796;4,5168;7,39;8,0683;7,0004;7,1776;6,9353;6,988;4,62;6,52;7,41;6,43;20,36
Ühendkuningriigid (UK);7,21;7,1458;7,939;6,599;5,3233;7,39;8,5237;7,2023;7,6195;7,7194;6,3879;5,47;6,84;7,63;6,80;21,27
Horvaatia;7,27;7,0605;7,1718;8,0393;3,8828;7,46;8,2105;6,0552;6,8329;6,8723;5,7403;4,67;6,68;7,17;6,03;19,88
Ungari;6,71;7,0591;6,0826;6,8532;3,9725;7,04;7,5389;6,8918;7,0028;6,5653;7,1812;4,75;6,14;7,09;6,37;19,60
Iirimaa;7,36;8,1254;7,1201;7,1942;4,5516;7,58;8,7288;7,568;7,7144;7,6594;7,116;5,61;6,87;7,88;7,02;21,77
Itaalia;6,9;7,2155;6,9935;6,1176;3,9047;6,99;7,7224;6,0116;6,9852;6,9058;5,9445;4,93;6,23;6,84;6,19;19,26
Leedu;6,8;6,3769;6,2772;6,3207;3,4022;7,22;7,7342;6,318;6,8408;7,3431;6,1715;5,01;5,84;7,02;6,34;19,20
L\u00E4ti;5,9;6,13;5,26;5,92;3,27;6,38;8,1159;6,4451;7,7123;7,6479;6,6639;3,42;5,30;6,91;6,36;18,57
Montenegro;7,17;7,6052;6,2548;7,0887;3,5057;7,65;8,0965;6,3268;7,0542;6,8546;5,7879;3,89;6,32;7,28;5,90;19,51
Holland;7,86;7,1978;8,6237;7,081;6,0988;7,87;9,0841;6,9761;7,7335;7,6323;7,1301;6,44;7,37;7,90;7,23;22,50
Poola;6,23;6,37;6,1;6,78;4,98;6,52;8,05;6,5103;7,1885;7,3489;6,0954;2,92;6,09;6,96;5,89;18,94
Portugal;6,89;6,355;5,7936;6,773;4,0099;7,13;8,4865;6,9157;7,1676;7,258;6,6193;3,89;5,96;7,44;6,23;19,63
Serbia;5,37;6,47;5,78;6,22;3,93;6,47;7,1087;5,3097;7,0702;6,7098;5,0755;3,17;5,55;6,23;5,51;17,29
Rootsi;7,3;7,27;8,06;6,6;5,69;7,11;8,5715;7,2504;8,3044;8,5602;6,8106;5,43;6,98;7,57;7,28;21,83
Sloveenia;7,63;7,0883;8,0322;7,958;4,4625;7,68;8,6119;6,5774;7,1349;7,0841;6,2778;4,67;7,03;7,55;6,29;20,87
Slovakkia;6,31;7,0787;6,2017;6,5132;3,2768;6,66;8,566;6,8837;7,2481;7,1954;6,8633;4,05;5,88;7,30;6,34;19,51